id,tariffrate_id,machine_specific_detail_id,first_audit_price,first_audit_price_without_startup,next_audit_price,next_audit_integrity_overcharge
809,17,35,316.88,0.00,221.92,0.00
812,17,36,369.52,0.00,286.95,0.00
815,17,37,316.88,0.00,221.92,0.00
818,17,38,369.52,0.00,286.95,0.00
821,17,39,421.13,0.00,353.00,0.00
824,17,40,421.13,0.00,353.00,0.00
827,17,41,212.62,227.08,123.86,123.86
830,17,42,212.62,227.08,123.86,156.90
833,17,43,238.44,247.73,156.90,189.92
836,17,44,253.91,291.08,156.90,221.92
839,17,45,303.46,394.29,156.90,254.95
842,17,46,330.30,460.35,156.90,286.95
845,17,47,395.33,748.34,189.92,319.98
848,17,48,407.72,1134.37,189.92,353.00
851,17,49,421.13,1671.11,189.92,385.00
854,17,50,446.94,2380.21,221.92,418.04
857,17,51,512.99,2799.28,221.92,483.06
860,17,52,578.02,3267.89,221.92,548.09
863,17,53,238.44,249.79,173.40,254.95
866,17,54,291.08,291.08,189.92,286.95
869,17,55,301.40,334.43,205.40,319.98
872,17,56,322.05,334.43,221.92,286.95
875,17,57,332.37,394.29,221.92,286.95
878,17,58,342.69,464.49,254.95,336.49
881,17,59,353.00,571.83,254.95,336.49
884,17,60,363.33,699.82,254.95,336.49
887,17,61,374.68,873.23,286.95,385.00
890,17,62,385.00,1095.15,286.95,385.00
893,17,63,395.33,1372.81,286.95,385.00
896,17,64,410.81,1721.68,286.95,385.00
899,17,65,421.13,2142.81,319.98,434.55
902,17,66,436.61,2663.03,319.98,434.55
905,17,67,463.45,3277.19,319.98,434.55
908,17,68,489.26,4010.04,319.98,434.55
911,17,69,525.38,4873.97,353.00,483.06
914,17,70,578.02,5893.77,353.00,483.06
917,17,71,630.66,5893.77,353.00,483.06
920,17,72,82.58,82.58,56.77,77.41
923,17,73,451.06,0.00,321.01,0.00
926,17,74,369.52,369.52,286.95,286.95
931,22,1,342.69,0.00,254.95,0.00
934,22,2,342.69,0.00,254.95,0.00
937,22,3,265.27,0.00,156.90,0.00
940,22,4,316.88,0.00,221.92,0.00
943,22,5,342.69,0.00,254.95,0.00
946,22,6,316.88,0.00,221.92,0.00
949,22,7,342.69,0.00,254.95,0.00
952,22,8,316.88,0.00,221.92,0.00
955,22,9,264.23,0.00,156.90,0.00
958,22,10,338.55,0.00,214.69,0.00
961,22,11,377.77,0.00,263.21,0.00
964,22,12,291.08,0.00,189.92,0.00
967,22,13,377.77,0.00,263.21,0.00
970,22,14,403.59,0.00,296.23,0.00
973,22,15,490.29,0.00,369.52,0.00
976,22,16,291.08,0.00,189.92,0.00
979,22,17,316.88,0.00,221.92,0.00
982,22,18,342.69,0.00,254.95,0.00
985,22,19,230.17,0.00,180.63,0.00
988,22,20,257.01,0.00,213.66,0.00
991,22,21,282.82,0.00,246.69,0.00
994,22,22,138.31,0.00,146.58,0.00
997,22,23,212.62,0.00,123.86,0.00
1000,22,24,265.27,0.00,156.90,0.00
1003,22,25,291.08,0.00,189.92,0.00
1006,22,26,291.08,0.00,189.92,0.00
1009,22,27,316.88,0.00,221.92,0.00
1012,22,28,342.69,0.00,254.95,0.00
1015,22,29,342.69,0.00,254.95,0.00
1018,22,30,395.33,0.00,319.98,0.00
1021,22,31,369.52,0.00,286.95,0.00
1024,22,32,369.52,0.00,286.95,0.00
1027,22,33,265.22,0.00,156.90,0.00
1030,22,34,421.13,0.00,353.00,0.00
1033,22,35,316.88,0.00,221.92,0.00
1036,22,36,369.52,0.00,286.95,0.00
1039,22,37,316.88,0.00,221.92,0.00
1042,22,38,369.52,0.00,286.95,0.00
1045,22,39,421.13,0.00,353.00,0.00
1048,22,40,421.13,0.00,353.00,0.00
1051,22,41,212.62,227.08,123.86,123.86
1054,22,42,212.62,227.08,123.86,156.90
1057,22,43,238.44,247.73,156.90,189.92
1060,22,44,253.91,291.08,156.90,221.92
1063,22,45,303.46,394.29,156.90,254.95
1066,22,46,330.30,460.35,156.90,286.95
1069,22,47,395.33,748.34,189.92,319.98
1072,22,48,407.72,1134.37,189.92,353.00
1075,22,49,421.13,1671.11,189.92,385.00
1078,22,50,446.94,2380.21,221.92,418.04
1081,22,51,512.99,2799.28,221.92,483.06
1084,22,52,578.02,3267.89,221.92,548.09
1087,22,53,238.44,249.79,173.40,254.95
1090,22,54,291.08,291.08,189.92,286.95
1093,22,55,301.40,334.43,205.40,319.98
1096,22,56,322.05,334.43,221.92,286.95
1099,22,57,332.37,394.29,221.92,286.95
1102,22,58,342.69,464.49,254.95,336.49
1105,22,59,353.00,571.83,254.95,336.49
1108,22,60,363.33,699.82,254.95,336.49
1111,22,61,374.68,873.23,286.95,385.00
1114,22,62,385.00,1095.15,286.95,385.00
1117,22,63,395.33,1372.81,286.95,385.00
1120,22,64,410.81,1721.68,286.95,385.00
1123,22,65,421.13,2142.81,319.98,434.55
1126,22,66,436.61,2663.03,319.98,434.55
1129,22,67,463.45,3277.19,319.98,434.55
1132,22,68,489.26,4010.04,319.98,434.55
1135,22,69,525.38,4873.97,353.00,483.06
1138,22,70,578.02,5893.77,353.00,483.06
1141,22,71,630.66,5893.77,353.00,483.06
1144,22,72,82.58,82.58,56.77,77.41
1147,22,73,451.06,0.00,321.01,0.00
1150,22,74,369.52,369.52,286.95,286.95
1155,27,1,342.69,0.00,254.95,0.00
1158,27,2,342.69,0.00,254.95,0.00
1161,27,3,265.27,0.00,156.90,0.00
1164,27,4,316.88,0.00,221.92,0.00
1167,27,5,342.69,0.00,254.95,0.00
1170,27,6,316.88,0.00,221.92,0.00
1173,27,7,342.69,0.00,254.95,0.00
1176,27,8,316.88,0.00,221.92,0.00
1179,27,9,264.23,0.00,156.90,0.00
1182,27,10,338.55,0.00,214.69,0.00
1185,27,11,377.77,0.00,263.21,0.00
1188,27,12,291.08,0.00,189.92,0.00
1191,27,13,377.77,0.00,263.21,0.00
1194,27,14,403.59,0.00,296.23,0.00
1197,27,15,490.29,0.00,369.52,0.00
1200,27,16,291.08,0.00,189.92,0.00
